RegionType,RegionName,CountyName,CountyFIPS_3,StateFIPSCd
PA Workforce Development Region,Central WDA,Lycoming County,081,42
PA Workforce Development Region,North Central WDA,McKean County,083,42
PA Workforce Development Region,West Central WDA,Mercer County,085,42
PA Workforce Development Region,Central WDA,Mifflin County,087,42
PA Workforce Development Region,Pocono Counties WDA,Monroe County,089,42
PA Workforce Development Region,Montgomery County WDA,Montgomery County,091,42
PA Workforce Development Region,Central WDA,Montour County,093,42
PA Workforce Development Region,Lehigh Valley WDA,Northampton County,095,42
PA Workforce Development Region,Central WDA,Northumberland County,097,42
PA Workforce Development Region,South Central WDA,Perry County,099,42
PA Workforce Development Region,Philadelphia County WDA,Philadelphia County,101,42
PA Workforce Development Region,Pocono Counties WDA,Pike County,103,42
PA Workforce Development Region,North Central WDA,Potter County,105,42
PA Workforce Development Region,Luzerne-Schuylkill Counties WDA,Schuylkill County,107,42
PA Workforce Development Region,Central WDA,Snyder County,109,42
PA Workforce Development Region,Southern Alleghenies WDA,Somerset County,111,42
PA Workforce Development Region,Northern Tier WDA,Sullivan County,113,42
PA Workforce Development Region,Northern Tier WDA,Susquehanna County,115,42
PA Workforce Development Region,Northern Tier WDA,Tioga County,117,42
PA Workforce Development Region,Central WDA,Union County,119,42
PA Workforce Development Region,Northwest WDA,Venango County,121,42
PA Workforce Development Region,Northwest WDA,Warren County,123,42
PA Workforce Development Region,Southwest Corner WDA,Washington County,125,42
PA Workforce Development Region,Pocono Counties WDA,Wayne County,127,42
PA Workforce Development Region,Westmoreland-Fayette Counties WDA,Westmoreland County,129,42
PA Workforce Development Region,Northern Tier WDA,Wyoming County,131,42
PA Workforce Development Region,South Central WDA,York County,133,42
PAEconomicDevelopmentRegion,NA,NA,000,42
PAEconomicDevelopmentRegion,Central,Adams County,001,42
PAEconomicDevelopmentRegion,Southwest,Allegheny County,003,42
PAEconomicDevelopmentRegion,Southwest,Armstrong County,005,42
PAEconomicDevelopmentRegion,Southwest,Beaver County,007,42
PAEconomicDevelopmentRegion,Southwest,Bedford County,009,42
PAEconomicDevelopmentRegion,Lehigh Valley,Berks County,011,42
PAEconomicDevelopmentRegion,Southwest,Blair County,013,42
PAEconomicDevelopmentRegion,Northeast,Bradford County,015,42
PAEconomicDevelopmentRegion,Southeast,Bucks County,017,42
PAEconomicDevelopmentRegion,Southwest,Butler County,019,42
PAEconomicDevelopmentRegion,Southwest,Cambria County,021,42
PAEconomicDevelopmentRegion,Northwest,Cameron County,023,42
PAEconomicDevelopmentRegion,Northeast,Carbon County,025,42
PAEconomicDevelopmentRegion,Northwest,Centre County,027,42
PAEconomicDevelopmentRegion,Southeast,Chester County,029,42
PAEconomicDevelopmentRegion,Northwest,Clarion County,031,42
PAEconomicDevelopmentRegion,Northwest,Clearfield County,033,42
PAEconomicDevelopmentRegion,Northeast,Clinton County,035,42
PAEconomicDevelopmentRegion,Northeast,Columbia County,037,42
PAEconomicDevelopmentRegion,Northwest,Crawford County,039,42
PAEconomicDevelopmentRegion,Central,Cumberland County,041,42
PAEconomicDevelopmentRegion,Central,Dauphin County,043,42
PAEconomicDevelopmentRegion,Southeast,Delaware County,045,42
PAEconomicDevelopmentRegion,Northwest,Elk County,047,42
PAEconomicDevelopmentRegion,Northwest,Erie County,049,42
PAEconomicDevelopmentRegion,Southwest,Fayette County,051,42
PAEconomicDevelopmentRegion,Northwest,Forest County,053,42
PAEconomicDevelopmentRegion,Central,Franklin County,055,42
PAEconomicDevelopmentRegion,Central,Fulton County,057,42
PAEconomicDevelopmentRegion,Southwest,Greene County,059,42
PAEconomicDevelopmentRegion,Central,Huntingdon County,061,42
PAEconomicDevelopmentRegion,Southwest,Indiana County,063,42
PAEconomicDevelopmentRegion,Northwest,Jefferson County,065,42
PAEconomicDevelopmentRegion,Central,Juniata County,067,42
PAEconomicDevelopmentRegion,Northeast,Lackawanna County,069,42
PAEconomicDevelopmentRegion,Southeast,Lancaster County,071,42
PAEconomicDevelopmentRegion,Northwest,Lawrence County,073,42
PAEconomicDevelopmentRegion,Lehigh Valley,Lebanon County,075,42
PAEconomicDevelopmentRegion,Lehigh Valley,Lehigh County,077,42
PAEconomicDevelopmentRegion,Northeast,Luzerne County,079,42
PAEconomicDevelopmentRegion,Northeast,Lycoming County,081,42
